SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 5,CSE535,Mobile Computing,4,B,9.17,9.23
2,Student 1,Semester 3,COM201-1,Critical Reading,2,A-,9.67,9.27
3,Student 1,Semester 6,CSE546,Applied Cryptography,4,A,8.8,9.16
4,Student 1,Semester 5,CSE300,Software Engineering ,4,A-,9.17,9.23
5,Student 1,Semester 4,CSE222,Analysis and Design of Algorithms,4,B,9.2,9.25
6,Student 1,Semester 5,CSE505,Information Integration and Data Analytics,4,A-,9.17,9.23
7,Student 1,Semester 2,CSE112,Computer Organisation,4,A,8.67,9.06
8,Student 1,Semester 6,CSE645,Digital and Cyber Forensic,4,B-,8.8,9.16
9,Student 1,Summer Term 2,MSC482,Self Growth,2,S,,
10,Student 1,Semester 4,CSE232,Computer Networks,4,A-,9.2,9.25
11,Student 1,Semester 6,CSE342*,Pattern Recognition,4,A,8.8,9.16
12,Student 1,Semester 1,CSE101,Introduction to Programming,4,A,9.5,9.5
13,Student 1,Semester 8,ECO301,Introduction to Economic Analysis,4,A-,9.6,9.25
14,Student 1,Semester 4,ESC202,Digital Communication,4,A-,9.2,9.25
15,Student 1,Semester 7,CSE343,Machine Learning,4,A,9.4,9.19
16,Student 1,Semester 7,CSE399,Independent Project,4,A-,9.4,9.19
17,Student 1,Semester 7,CSE499,BTech Project,4,A-,9.4,9.19
18,Student 1,Semester 3,CSE231,Operating Systems ,4,A,9.67,9.27
19,Student 1,Semester 8,CSE499,BTech Project,4,A,9.6,9.25
20,Student 1,Semester 3,CSE201,Advanced Programming,4,A+,9.67,9.27
21,Student 1,Semester 8,HSS204*,Introduction to Psychology,4,A,9.6,9.25
22,Student 1,Semester 8,CSE606,Data Warehousing,4,A-,9.6,9.25
23,Student 1,Semester 1,CSE121,Discrete Mathematics,4,B,9.5,9.5
24,Student 1,Semester 2,CSE131-1*,System Management,2,A,8.67,9.06
25,Student 1,Semester 5,MTH101,Linear Algebra and Advanced Calculus,4,A+,9.17,9.23
26,Student 1,Semester 2,CSE122*,Theory of Computation,4,A,8.67,9.06
27,Student 1,Semester 4,HSS201*,Research Methods,4,A,9.2,9.25
28,Student 1,Semester 7,CSE694C,Privacy and Security in Online Social Media,2,A,9.4,9.19
29,Student 1,Semester 8,ENV301,The Earth System: An Environmental Science Perspective,4,A,9.6,9.25
30,Student 1,Semester 3,MTH201,Probability and Statistics ,4,A-,9.67,9.27
31,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,B,8.67,9.06
32,Student 1,Semester 1,CSE111,Digital Circuits,4,A,9.5,9.5
33,Student 1,Semester 6,COM301,Technical Communication,4,B,8.8,9.16
34,Student 1,Semester 6,CSE508,Information Retrieval,4,A-,8.8,9.16
35,Student 1,Semester 1,COM101,Communication Skills,4,A,9.5,9.5
36,Student 1,Semester 7,FIN401,Foundations of Finance ,4,A-,9.4,9.19
37,Student 1,Semester 4,CSE202,Fundamentals of Database Systems,4,A,9.2,9.25
38,Student 1,Semester 7,ENT401,Entrepreneurship as a Career,2,A,9.4,9.19
39,Student 1,Semester 5,CSE540*,Image Analysis,4,A,9.17,9.23
40,Student 1,Semester 2,HSS101*,Technology and Society,4,C,8.67,9.06
41,Student 1,Semester 5,CSE345,Foundations of Computer Security,4,A-,9.17,9.23
42,Student 1,Semester 3,ESC201,Transducer And Signal Conditioning,4,A,9.67,9.27
43,Student 2,Semester 4,ESC202,Digital Communication,4,C,6.0,5.67
44,Student 2,Semester 4,HSS202*,Perspectives on Knowledge,4,C,6.0,5.67
45,Student 2,Semester 8,DES301,Exploring Visual Design,4,A-,8.29,6.65
46,Student 2,Semester 5,CSE540*,Image Analysis,4,A-,7.4,6.04
47,Student 2,Semester 5,CSE535,Mobile Computing,4,D,7.4,6.04
48,Student 2,Semester 8,HSS206*,Introduction to Film Studies,4,B,8.29,6.65
49,Student 2,Semester 3,CSE201,Advanced Programming,4,C,6.0,5.54
50,Student 2,Semester 6,CSE342*,Pattern Recognition,4,B-,7.6,6.32
51,Student 2,Semester 3,MTH201,Probability and Statistics ,4,C,6.0,5.54
52,Student 2,Semester 7,CSE343,Machine Learning,4,C,7.44,6.48
53,Student 2,Semester 7,ENT401,Entrepreneurship as a Career,2,A-,7.44,6.48
54,Student 2,Semester 3,COM201-1,Critical Reading,2,C,6.0,5.54
55,Student 2,Semester 7,CSE694C,Privacy and Security in Online Social Media,2,W,7.44,6.48
56,Student 2,Semester 7,FIN401,Foundations of Finance ,4,B-,7.44,6.48
57,Student 2,Summer Term 3,MSC492,Community Work,2,S,,
58,Student 2,Semester 6,HSS204*,Introduction to Psychology,4,B,7.6,6.32
59,Student 2,Semester 6,MTH101,Linear Algebra and Advanced Calculus,4,B-,7.6,6.32
60,Student 2,Semester 2,CSE122*,Theory of Computation,4,F,4.22,4.82
61,Student 2,Semester 3,CSE231,Operating Systems ,4,C,6.0,5.54
62,Student 2,Summer Term 1,CSE122*,Theory of Computation,4,C,6.0,5.29
63,Student 2,Semester 1,CSE101,Introduction to Programming,4,D,5.5,5.5
64,Student 2,Semester 7,CSE500,Secure Coding,4,B,7.44,6.48
65,Student 2,Semester 2,CSE112,Computer Organisation,4,C,4.22,4.82
66,Student 2,Semester 5,CSE300,Software Engineering ,4,B,7.4,6.04
67,Student 2,Semester 2,HSS101*,Technology and Society,4,D,4.22,4.82
68,Student 2,Semester 4,CSE202,Fundamentals of Database Systems,4,B-,6.0,5.67
69,Student 2,Semester 1,COM101,Communication Skills,4,D,5.5,5.5
70,Student 2,Semester 3,ESC201,Transducer And Signal Conditioning,4,C,6.0,5.54
71,Student 2,Semester 6,CSE508,Information Retrieval,4,C,7.6,6.32
72,Student 2,Semester 6,COM301,Technical Communication,4,A,7.6,6.32
73,Student 2,Semester 7,CSE345,Foundations of Computer Security,4,B,7.44,6.48
74,Student 2,Semester 1,CSE111,Digital Circuits,4,B,5.5,5.5
75,Student 2,Semester 5,BTY301,Introduction to Biotechnology ,4,B,7.4,6.04
76,Student 2,Semester 2,CSE131-1*,System Management,2,C,4.22,4.82
77,Student 2,Semester 1,CSE121,Discrete Mathematics,4,C,5.5,5.5
78,Student 2,Semester 8,CSE606,Data Warehousing,4,B,8.29,6.65
79,Student 2,Semester 4,CSE232,Computer Networks,4,C-,6.0,5.67
80,Student 2,Semester 5,CSE505,Information Integration and Data Analytics,4,B,7.4,6.04
81,Student 2,Semester 4,CSE222,Analysis and Design of Algorithms,4,C,6.0,5.67
82,Student 2,Summer Term 3,MSC482,Self Growth,2,S,,
83,Student 2,Semester 2,CSE102,Data Structures and Algorithms,4,D,4.22,4.82
84,Student 2,Semester 8,CSE607,Financial Data Analytics,2,B,8.29,6.65
85,Student 3,Semester 2,CSE131-1*,System Management,2,D,2.67,2.35
86,Student 3,Semester 1,CSE111,Digital Circuits,4,F,2.0,2.0
