SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 3,ESC205,Environmental Sciences,4,A-,7.2,7.0
2,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,C,6.0,6.9
3,Student 1,Semester 5,DES303*,Non Linear Editing,4,A,8.6,7.33
4,Student 1,Semester 1,CSE111,Digital Circuits,4,B,7.8,7.8
5,Student 1,Semester 5,CSE345,Foundations of Computer Security,4,B,8.6,7.33
6,Student 1,Semester 8,BIO506,Stochastic Simulations in System Biology and Biophysics,4,A-,8.45,7.76
7,Student 1,Semester 2,HSS214*,Indian Society,4,C,6.0,6.9
8,Student 1,Semester 8,CSE508,Information Retrieval,4,B,8.45,7.76
9,Student 1,Semester 8,FIN401,Foundations of Finance ,4,B,8.45,7.76
10,Student 1,Semester 6,CSE999B2,Distance Course in CSE,1,S,8.33,7.44
11,Student 1,Semester 6,CSE999B,Distance Course in CSE,1,S,8.33,7.44
12,Student 1,Semester 6,CSE524,Theory of Modern Cryptography,4,B,8.33,7.44
13,Student 1,Semester 6,HSS216*,Positive Psychology,4,B,8.33,7.44
14,Student 1,Semester 3,HSS211*,Theatre Appreciation,4,A,7.2,7.0
15,Student 1,Semester 2,MTH201,Probability and Statistics ,4,B-,6.0,6.9
16,Student 1,Semester 8,HSS226A*,Indian Poetry Through The Ages,2,A-,8.45,7.76
17,Student 1,Semester 6,PHY303,Opto-Electronics,4,W,8.33,7.44
18,Student 1,Semester 6,CSE530,Distributed Systems,4,A-,8.33,7.44
19,Student 1,Semester 3,CSE201,Advanced Programming,4,C,7.2,7.0
20,Student 1,Semester 3,CSE121,Discrete Mathematics,4,C-,7.2,7.0
21,Student 1,Semester 8,CSE651,Topics in Adaptive Cybersecurity,4,A-,8.45,7.76
22,Student 1,Semester 3,CSE231,Operating Systems ,4,C,7.2,7.0
23,Student 1,Semester 5,CSE350,Network Security,4,B,8.6,7.33
24,Student 1,Semester 4,CSE202,Fundamentals of Database Systems,4,B,7.0,7.0
25,Student 1,Semester 4,CSE222,Analysis and Design of Algorithms,4,D,7.0,7.0
26,Student 1,Semester 4,COM301A,Technical Communication,2,A-,7.0,7.0
27,Student 1,Semester 4,CSE232,Computer Networks,4,B,7.0,7.0
28,Student 1,Semester 7,CSE506,Data Mining,4,B,8.89,7.64
29,Student 1,Semester 7,HSS204*,Introduction to Psychology,4,A,8.89,7.64
30,Student 1,Semester 5,HSS210*,History of Indian National Movement,4,A-,8.6,7.33
31,Student 1,Semester 7,FIN402,Valuation and Portfolio Management,4,B-,8.89,7.64
32,Student 1,Semester 7,ENT401,Entrepreneurship as a Career,2,A,8.89,7.64
33,Student 1,Semester 7,BIO303*,Introduction to Mathematical Biology,4,A,8.89,7.64
34,Student 1,Semester 2,DES130,Introduction to Engineering Design,4,C-,6.0,6.9
35,Student 1,Semester 1,CSE101,Introduction to Programming,4,B-,7.8,7.8
36,Student 1,Semester 1,MTH100,Maths I,4,B,7.8,7.8
37,Student 1,Semester 1,COM101,Communication Skills,4,B,7.8,7.8
38,Student 1,Semester 5,CSE535,Mobile Computing,4,B,8.6,7.33
39,Student 1,Semester 4,BIO400,Foundations of Biology-II,4,B-,7.0,7.0
40,Student 1,Semester 8,HSS220*,IT & Governance,4,B,8.45,7.76
41,Student 1,Semester 1,CSE131,System Management,4,B,7.8,7.8
42,Student 1,Semester 2,CSE112,Computer Organisation,4,C,6.0,6.9
43,Student 2,Semester 1,CSE111,Digital Circuits,4,D,4.8,5.5
44,Student 2,Semester 2,CSE102,Data Structures and Algorithms,4,F,4.0,5.43
45,Student 2,Semester 2,HSS208*,Theory and Practice of Engineering Ethics,4,C,4.0,5.43
46,Student 2,Semester 1,MTH100,Maths I,4,C,4.8,5.5
47,Student 2,Semester 1,CSE101,Introduction to Programming,4,F,4.8,5.5
48,Student 2,Semester 1,CSE131,System Management,4,C-,4.8,5.5
49,Student 2,Semester 2,DES130,Introduction to Engineering Design,4,C,4.0,5.43
50,Student 2,Semester 2,CSE112,Computer Organisation,4,D,4.0,5.43
51,Student 2,Semester 1,COM101,Communication Skills,4,B-,4.8,5.5
52,Student 2,Semester 2,MTH201,Probability and Statistics ,4,F,4.0,5.43
53,Student 3,Semester 2,HSS101*,Technology and Society,4,D,3.8,5.14
54,Student 3,Semester 2,CSE112,Computer Organisation,4,F,3.8,5.14
55,Student 3,Semester 1,CSE131,System Management,4,D,4.6,5.25
56,Student 3,Semester 2,CSE102,Data Structures and Algorithms,4,C-,3.8,5.14
57,Student 3,Semester 2,DES130,Introduction to Engineering Design,4,C,3.8,5.14
58,Student 3,Semester 1,CSE101,Introduction to Programming,4,F,4.6,5.25
59,Student 3,Semester 1,COM101,Communication Skills,4,C,4.6,5.25
60,Student 3,Semester 1,MTH100,Maths I,4,C,4.6,5.25
61,Student 3,Semester 2,MTH201,Probability and Statistics ,4,F,3.8,5.14
62,Student 3,Semester 1,CSE111,Digital Circuits,4,C-,4.6,5.25
63,Student 4,Semester 8,ECO301,Introduction to Economic Analysis,4,B-,8.0,8.55
64,Student 4,Semester 2,DES130,Introduction to Engineering Design,4,A,9.0,8.6
65,Student 4,Semester 1,CSE131,System Management,4,A-,8.2,8.2
66,Student 4,Semester 1,MTH100,Maths I,4,B-,8.2,8.2
67,Student 4,Semester 2,CSE102,Data Structures and Algorithms,4,A-,9.0,8.6
68,Student 4,Semester 5,CSE399,Independent Project,4,B,8.4,8.52
69,Student 4,Semester 7,CSE576,Smart Sensing for Internet of Things,4,A-,8.75,8.62
70,Student 4,Semester 2,MTH201,Probability and Statistics ,4,A-,9.0,8.6
71,Student 4,Summer Term 3,CSE499,BTech Project,4,A-,9.0,8.7
72,Student 4,Semester 5,CSE535,Mobile Computing,4,B,8.4,8.52
73,Student 4,Semester 3,HSS212*,Critical Thinking,4,A-,9.0,8.71
74,Student 4,Semester 5,CSE350,Network Security,4,B,8.4,8.52
75,Student 4,Semester 3,BIO304,Bio Physics,4,W,9.0,8.71
76,Student 4,Semester 6,CSE999B,Distance Course in CSE,1,S,9.0,8.59
77,Student 4,Semester 2,HSS208*,Theory and Practice of Engineering Ethics,4,A-,9.0,8.6
78,Student 4,Semester 2,CSE112,Computer Organisation,4,B,9.0,8.6
79,Student 4,Semester 3,CSE231,Operating Systems ,4,B,9.0,8.71
80,Student 4,Semester 5,CSE499,BTech Project,4,A-,8.4,8.52
81,Student 4,Semester 3,CSE121,Discrete Mathematics,4,A-,9.0,8.71
82,Student 4,Semester 6,ECO302,Applied Econometric Analysis,4,B,9.0,8.59
83,Student 4,Semester 3,CSE201,Advanced Programming,4,A,9.0,8.71
84,Student 4,Semester 4,COM301A,Technical Communication,2,B,8.1,8.55
85,Student 4,Semester 4,CSE202,Fundamentals of Database Systems,4,A-,8.1,8.55
86,Student 4,Semester 4,ESC205A,Environmental Sciences,2,A-,8.1,8.55
87,Student 4,Semester 4,CSE222,Analysis and Design of Algorithms,4,C,8.1,8.55
88,Student 4,Semester 4,CSE232,Computer Networks,4,A-,8.1,8.55
89,Student 4,Semester 7,HSS222*,Philosophy of Literature,4,B,8.75,8.62
90,Student 4,Semester 7,CSE499,BTech Project,4,A,8.75,8.62
